ID,NOM,LATITUDE,LONGITUDE
8814118,"Forest-Est",50.8102,4.32094
8814126,"Uccle-Stalle",50.80241,4.3239
8814134,"Uccle-Calevoet",50.79175,4.332211
8814142,"Linkebeek",50.77369,4.339434
8814159,"Holleken",50.76763,4.353956
8814167,"Rhode-Saint-Genèse",50.74781,4.362001
8814175,"De Hoek",50.73881,4.370713
8814209,"Nivelles",50.59964,4.335065
8814241,"Lillois",50.64542,4.365369
8814258,"Braine-l'Alleud",50.68478,4.37553
8814266,"Waterloo",50.71542,4.383485
8814308,"Hal",50.73393,4.240633
8814332,"Lembeek",50.71511,4.22158
8814340,"Buizingen",50.75158,4.25856
8814357,"Lot",50.76636,4.2737
8814365,"Ruisbroek",50.79183,4.29533
8814373,"Forest-Midi",50.80922,4.309167
8814415,"Huizingen",50.7519,4.266485
8814423,"Beersel",50.76661,4.302603
8814431,"Moensberg",50.77832,4.330729
8814449,"Saint-Job",50.79441,4.362758
8814456,"Boondael",50.80136,4.393081
8814464,"Vivier D'Oie",50.79615,4.37405
8814472,"Arcades",50.80992,4.39854
8815016,"Tour-et-Taxis",50.8728,4.342105
8815040,"Bruxelles-Ouest",50.84856,4.32104
8819406,"Brussels Airport-Zaventem",50.89646,4.482072
8821006,"Anvers-Central",51.2172,4.421098
8821063,"Anvers-Luchtbal",51.24413,4.425033
8821071,"Ekeren",51.28163,4.434153
8821089,"Anvers-Noorderdokken",51.26164,4.42791
8821105,"Noorderkempen (Brecht)",51.35683,4.6322
8821121,"Anvers-Berchem",51.19923,4.432219
8821147,"Mortsel",51.18296,4.448435
8821196,"Anvers-Sud",51.19783,4.390264
8821238,"Mortsel-Oude God",51.17125,4.455737
8821246,"Mortsel-Liersesteenweg",51.16903,4.468841
8821311,"Kontich-Lint",51.13403,4.476358
8821337,"Hove",51.15412,4.465158
8821402,"Essen",51.46276,4.451318
8821436,"Wildert",51.42809,4.463349
8821444,"Kalmthout",51.39117,4.466825
8821451,"Kijkuit",51.37866,4.467318
8821519,"Heide",51.36462,4.460482
8821535,"Kapellen",51.31353,4.432662
8821543,"Sint-Mariaburg",51.29165,4.434902
8821600,"Lierre",51.13576,4.560611
8821634,"Boechout",51.16348,4.494487
8821659,"Kessel",51.15106,4.61846
8821667,"Nijlen",51.15984,4.666589
8821709,"Wolfstee",51.16836,4.786148
8821717,"Herentals",51.18151,4.82954
8821725,"Bouwel",51.16576,4.746515
8821816,"Berlaar",51.11366,4.638808
8821824,"Melkouwen",51.09494,4.671533
8821832,"Heist-op-den-Berg",51.07415,4.708231
8821857,"Booischot",51.03734,4.773481
8821865,"Begijnendijk",51.02197,4.80034
8821907,"Turnhout",51.32203,4.937413
8821964,"Tielen",51.24102,4.89309
8822004,"Malines",51.01765,4.482785
8822053,"Kapelle-op-den-Bos",51.01084,4.359118
8822111,"Londerzeel",51.00909,4.299069
8822137,"Malderen",51.01449,4.22911
8822145,"Buggenhout",51.01629,4.201663
8822160,"Baasrode-Zuid",51.01944,4.153496
8822210,"Duffel",51.09124,4.493184
8822228,"Sint-Katelijne-Waver",51.06998,4.496119
8822251,"Weerde",50.97745,4.470935
8822269,"Eppegem",50.9584,4.45749
8822277,"Hofstade",50.98866,4.49834
8822343,"Malines-Nekkerspoel",51.02988,4.489917
8822426,"Muizen",51.0082,4.51384
8822459,"Hever",50.99779,4.537634
8822475,"Boortmeerbeek",50.98185,4.5739
8822517,"Haacht",50.96643,4.613306
8822525,"Wespelaar-Tildonk",50.95855,4.638014
8822533,"Hambos",50.94425,4.66301
8822608,"Willebroek",51.06635,4.35602
8822715,"Puurs",51.07722,4.282701
8822772,"Bornem",51.09923,4.24053
8822814,"Boom",51.09071,4.360698
8822848,"Ruisbroek-Sauvegarde",51.08103,4.325001
8824158,"Hoboken-Polder",51.1827,4.347787
8824224,"Hemiksem",51.13625,4.338294
8824232,"Schelle",51.12551,4.340261
8824240,"Niel",51.1116,4.338591
